"Parent1"	"Parent2"	"Offspring"	"Cross.Type"	"SNPs"	"GD"
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.03"	"outcross"	432	0.164351851851852
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.04"	"outcross"	432	0.141203703703704
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.05"	"outcross"	414	0.120772946859903
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.06"	"outcross"	430	0.137209302325581
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.07"	"outcross"	432	0.201388888888889
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.08"	"outcross"	428	0.200934579439252
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.09"	"outcross"	431	0.201856148491879
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.10"	"outcross"	431	0.179814385150812
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.11"	"outcross"	431	0.180974477958237
"Chang.Bai.Mountain.4"	"Tatyana"	"Offspring.12"	"outcross"	432	0.189814814814815
"Chang.Bai.Mountain.4"	"Tatyana"	"CACT.105.107"	"outcross"	432	0.087962962962963
"Chang.Bai.Mountain.4"	"Tatyana"	"Ogden.Point"	"outcross"	431	0.267981438515081
"Chang.Bai.Mountain.4"	"Tatyana"	"Meader"	"outcross"	431	0.0974477958236659
"Chang.Bai.Mountain.4"	"Tatyana"	"Langer"	"outcross"	431	0.197215777262181
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Chang.Bai.Mountain.5"	"outcross"	294	0.134353741496599
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Tatyana"	"outcross"	294	0.115646258503401
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"X74.32"	"outcross"	293	0.170648464163823
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"DACT.218"	"outcross"	274	0.136861313868613
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.01"	"outcross"	293	0
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.02"	"outcross"	290	0
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.03"	"outcross"	294	0
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.04"	"outcross"	294	0.153061224489796
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.05"	"outcross"	279	0.127240143369176
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.06"	"outcross"	292	0.150684931506849
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.07"	"outcross"	293	0.15358361774744
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.08"	"outcross"	290	0.167241379310345
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.09"	"outcross"	293	0.172354948805461
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.10"	"outcross"	294	0.168367346938776
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.11"	"outcross"	294	0.175170068027211
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Offspring.12"	"outcross"	294	0.195578231292517
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"CACT.105.107"	"outcross"	294	0.153061224489796
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Ogden.Point"	"outcross"	293	0.172354948805461
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Meader"	"outcross"	292	0.10958904109589
"Chang.Bai.Mountain.4"	"Dumbarton.Oaks.BG"	"Langer"	"outcross"	293	0.146757679180887
"Chang.Bai.Mountain.4"	"X74.32"	"Chang.Bai.Mountain.5"	"outcross"	318	0.135220125786164
"Chang.Bai.Mountain.4"	"X74.32"	"Tatyana"	"outcross"	318	0.116352201257862
"Chang.Bai.Mountain.4"	"X74.32"	"Dumbarton.Oaks.BG"	"outcross"	318	0.19811320754717
"Chang.Bai.Mountain.4"	"X74.32"	"DACT.218"	"outcross"	306	0.17483660130719
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.01"	"outcross"	317	0.110410094637224
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.02"	"outcross"	314	0.106687898089172
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.03"	"outcross"	318	0.125786163522013
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.04"	"outcross"	318	0.0660377358490566
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.05"	"outcross"	306	0.0669934640522876
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.06"	"outcross"	317	0.0694006309148265
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.07"	"outcross"	317	0.16403785488959
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.08"	"outcross"	314	0.189490445859873
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.09"	"outcross"	317	0.186119873817035
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.10"	"outcross"	317	0.0914826498422713
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.11"	"outcross"	317	0.082018927444795
"Chang.Bai.Mountain.4"	"X74.32"	"Offspring.12"	"outcross"	318	0.105345911949686
"Chang.Bai.Mountain.4"	"X74.32"	"CACT.105.107"	"outcross"	316	0.140822784810127
"Chang.Bai.Mountain.4"	"X74.32"	"Ogden.Point"	"outcross"	317	0.206624605678233
"Chang.Bai.Mountain.4"	"X74.32"	"Meader"	"outcross"	317	0.108832807570978
"Chang.Bai.Mountain.4"	"X74.32"	"Langer"	"outcross"	317	0.143533123028391
"Chang.Bai.Mountain.4"	"DACT.218"	"Chang.Bai.Mountain.5"	"outcross"	300	0.13
"Chang.Bai.Mountain.4"	"DACT.218"	"Tatyana"	"outcross"	299	0.11371237458194
"Chang.Bai.Mountain.4"	"DACT.218"	"Dumbarton.Oaks.BG"	"outcross"	300	0.151666666666667
"Chang.Bai.Mountain.4"	"DACT.218"	"X74.32"	"outcross"	299	0.150501672240803
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.01"	"outcross"	299	0.068561872909699
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.02"	"outcross"	296	0.0929054054054054
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.03"	"outcross"	300	0.0833333333333333
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.04"	"outcross"	300	0.14
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.05"	"outcross"	287	0.123693379790941
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.06"	"outcross"	299	0.138795986622074
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.07"	"outcross"	300	0.181666666666667
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.08"	"outcross"	296	0.199324324324324
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.09"	"outcross"	300	0.22
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.10"	"outcross"	300	0.156666666666667
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.11"	"outcross"	299	0.165551839464883
"Chang.Bai.Mountain.4"	"DACT.218"	"Offspring.12"	"outcross"	300	0.185
"Chang.Bai.Mountain.4"	"DACT.218"	"CACT.105.107"	"outcross"	299	0.155518394648829
"Chang.Bai.Mountain.4"	"DACT.218"	"Ogden.Point"	"outcross"	299	0.240802675585284
"Chang.Bai.Mountain.4"	"DACT.218"	"Meader"	"outcross"	298	0.104026845637584
"Chang.Bai.Mountain.4"	"DACT.218"	"Langer"	"outcross"	299	0.148829431438127
"Chang.Bai.Mountain.4"	"Offspring.01"	"Chang.Bai.Mountain.5"	"outcross"	381	0.119422572178478
"Chang.Bai.Mountain.4"	"Offspring.01"	"Tatyana"	"outcross"	381	0.112860892388451
"Chang.Bai.Mountain.4"	"Offspring.01"	"Dumbarton.Oaks.BG"	"outcross"	381	0.124671916010499
"Chang.Bai.Mountain.4"	"Offspring.01"	"X74.32"	"outcross"	380	0.182894736842105
"Chang.Bai.Mountain.4"	"Offspring.01"	"DACT.218"	"outcross"	359	0.162952646239554
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.02"	"outcross"	376	0.0691489361702128
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.03"	"outcross"	381	0.0708661417322835
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.04"	"outcross"	381	0.16010498687664
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.05"	"outcross"	366	0.140710382513661
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.06"	"outcross"	379	0.162269129287599
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.07"	"outcross"	380	0.172368421052632
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.08"	"outcross"	377	0.184350132625995
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.09"	"outcross"	380	0.189473684210526
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.10"	"outcross"	380	0.168421052631579
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.11"	"outcross"	380	0.165789473684211
"Chang.Bai.Mountain.4"	"Offspring.01"	"Offspring.12"	"outcross"	381	0.192913385826772
"Chang.Bai.Mountain.4"	"Offspring.01"	"CACT.105.107"	"outcross"	381	0.137795275590551
"Chang.Bai.Mountain.4"	"Offspring.01"	"Ogden.Point"	"outcross"	380	0.217105263157895
"Chang.Bai.Mountain.4"	"Offspring.01"	"Meader"	"outcross"	379	0.113456464379947
"Chang.Bai.Mountain.4"	"Offspring.01"	"Langer"	"outcross"	380	0.167105263157895
"Chang.Bai.Mountain.4"	"Offspring.02"	"Chang.Bai.Mountain.5"	"outcross"	371	0.121293800539084
"Chang.Bai.Mountain.4"	"Offspring.02"	"Tatyana"	"outcross"	371	0.111859838274933
"Chang.Bai.Mountain.4"	"Offspring.02"	"Dumbarton.Oaks.BG"	"outcross"	371	0.115902964959569
"Chang.Bai.Mountain.4"	"Offspring.02"	"X74.32"	"outcross"	370	0.171621621621622
"Chang.Bai.Mountain.4"	"Offspring.02"	"DACT.218"	"outcross"	347	0.172910662824208
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.01"	"outcross"	370	0.0594594594594595
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.03"	"outcross"	371	0.0714285714285714
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.04"	"outcross"	371	0.148247978436658
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.05"	"outcross"	354	0.135593220338983
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.06"	"outcross"	369	0.153116531165312
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.07"	"outcross"	370	0.178378378378378
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.08"	"outcross"	367	0.185286103542234
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.09"	"outcross"	370	0.187837837837838
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.10"	"outcross"	370	0.163513513513514
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.11"	"outcross"	370	0.164864864864865
"Chang.Bai.Mountain.4"	"Offspring.02"	"Offspring.12"	"outcross"	371	0.183288409703504
"Chang.Bai.Mountain.4"	"Offspring.02"	"CACT.105.107"	"outcross"	371	0.149595687331536
"Chang.Bai.Mountain.4"	"Offspring.02"	"Ogden.Point"	"outcross"	370	0.208108108108108
"Chang.Bai.Mountain.4"	"Offspring.02"	"Meader"	"outcross"	369	0.112466124661247
"Chang.Bai.Mountain.4"	"Offspring.02"	"Langer"	"outcross"	370	0.164864864864865
"Chang.Bai.Mountain.4"	"Offspring.03"	"Chang.Bai.Mountain.5"	"outcross"	370	0.125675675675676
