"Parent","Offspring","GDM p-value","GDCV p-value","Cumulative p-value"
"Ogden.Point","Offspring.07",0.0254659052639188,0.000259993156304428,6.6209610877158e-06
"Ogden.Point","Offspring.08",0.0376036026211703,0.000453297585284229,1.70456222661642e-05

